,20310_2023-08-19,20311_2023-08-19,20312_2023-08-19,20313_2023-08-19,20314_2023-08-19,20315_2023-08-19,20316_2023-08-19,20317_2023-08-19,20318_2023-08-19,20319_2023-08-19,20320_2023-08-19,20321_2023-08-19,20322_2023-08-19,20323_2023-08-19,20324_2023-08-19,20325_2023-08-19,20326_2023-08-19,20327_2023-08-19,20328_2023-08-19,20329_2023-08-19,20310_2023-08-29,20311_2023-08-29,20312_2023-08-29,20313_2023-08-29,20314_2023-08-29,20315_2023-08-29,20316_2023-08-29,20317_2023-08-29,20318_2023-08-29,20319_2023-08-29,20320_2023-08-29,20321_2023-08-29,20322_2023-08-29,20323_2023-08-29,20324_2023-08-29,20325_2023-08-29,20326_2023-08-29,20327_2023-08-29,20328_2023-08-29,20329_2023-08-29,20310_2023-09-08,20311_2023-09-08,20312_2023-09-08,20313_2023-09-08,20314_2023-09-08,20315_2023-09-08,20316_2023-09-08,20317_2023-09-08,20318_2023-09-08,20319_2023-09-08,20320_2023-09-08,20321_2023-09-08,20322_2023-09-08,20323_2023-09-08,20324_2023-09-08,20325_2023-09-08,20326_2023-09-08,20327_2023-09-08,20328_2023-09-08,20329_2023-09-08,20310_2023-09-18,20311_2023-09-18,20312_2023-09-18,20313_2023-09-18,20314_2023-09-18,20315_2023-09-18,20316_2023-09-18,20317_2023-09-18,20318_2023-09-18,20319_2023-09-18,20320_2023-09-18,20321_2023-09-18,20322_2023-09-18,20323_2023-09-18,20324_2023-09-18,20325_2023-09-18,20326_2023-09-18,20327_2023-09-18,20328_2023-09-18,20329_2023-09-18
476,4.31503640596695,-4.015725335097912,-0.11204607485727536,2.1208515334594935,0.17093149879258362,2.0059456673212495,-0.20975668808278414,1.5313165127723565,-3.191221899895446,-0.1392898044476354,-0.21956015921546168,0.7655149877155978,1.118234956755387,-2.0916932091640064,1.025057935682966,1.8074166304714367,-1.8526420359209368,0.37908741255589007,-2.3128133796883503,-1.0349839778854957,5.099601035680081,-3.7666802278008262,-0.03187543714128793,2.2606498063125855,0.009855100581518172,1.9459271098410014,-0.5048386688899811,1.4992699641114768,-3.4392095359178185,0.5892828518731648,-0.6002137248868635,1.2628005770743655,1.3383552652630115,-2.259113071495527,0.9616139822172016,1.2414548948811017,-2.172310047245851,-0.08876934810361092,-2.710227459704022,-0.6079579960886932,5.298467248431301,-3.580069965674177,-0.11334235299497664,2.189930716541504,0.09657973412448939,2.0767629168811794,-0.7346865995486667,1.5083209608861097,-3.704454864278098,0.8896699262211811,-0.7285984352113246,1.608844428800964,1.4141405058090228,-2.521734083073909,1.0845598887751748,1.0211078399767501,-2.277158003846985,-0.3849352828304049,-2.6790947879670313,-0.44899438403623293,5.652323658334332,-3.4965541030590828,-0.08522209860732488,2.0751443019168363,0.08904289033008439,2.1393214366162496,-0.8420718530010589,1.4349320130053513,-3.9255958953252232,1.3171397683985617,-0.64161706994404,1.848560443834927,1.4028770607243004,-2.499153293086785,1.0840054735054494,1.0184213125364607,-2.488058768178618,-0.6859678623727632,-3.310309569713503,-0.07598808937125057
477,4.340831384810407,-4.019149120484883,-0.10944783351509813,2.1228610588399803,0.16956115100244062,2.0005882406639444,-0.2126495002129829,1.527584440288365,-3.1853628263441536,-0.12761097868843052,-0.2277377689379705,0.7738346876238609,1.1144249473975663,-2.1068439267697414,1.028888441371997,1.7932472900531167,-1.860327398145735,0.3712646505607182,-2.3122335311237663,-1.0224412954564244,5.100030779571441,-3.7644519473117626,-0.03313540871726417,2.2667930524659923,0.008469094046596126,1.9443491071144905,-0.49963702610004646,1.496725363228066,-3.4426591876430876,0.5983730564058689,-0.6118770871830677,1.2735161288068397,1.3416375275392056,-2.263829685096148,0.9606521143101503,1.2329811938202226,-2.164824500569253,-0.0947425449779189,-2.7046303111349985,-0.6132920047429025,5.297116457337509,-3.578480719225581,-0.11756510244732965,2.185829183639484,0.10391599003772711,2.086583487381887,-0.743726762127416,1.5075084898258169,-3.7084301862930573,0.9007649788448404,-0.7338252179512281,1.6170030251574161,1.4148350255036988,-2.5292803661297683,1.0933491698883842,1.0208793684312383,-2.2797822107887313,-0.3918276049549334,-2.6815056884118533,-0.4482029980745921,5.6530764281333745,-3.4980465356842103,-0.09088437414830253,2.074307534303202,0.09139379877539966,2.1456623315555845,-0.8514654501624292,1.4368102585580331,-3.934676821966626,1.3296413526275046,-0.6441159617762153,1.8550787962573523,1.4054963315328877,-2.506980450235581,1.0898476156796093,1.0224214354931505,-2.4927759729343535,-0.6914408190107864,-3.3074519140582552,-0.07415503082068398
478,4.360467311087653,-4.023222154684653,-0.10299206736412003,2.124583912855556,0.16953058780130448,1.9983662499398775,-0.22001113422187757,1.5293914207514376,-3.1840388940839404,-0.11412030674237883,-0.24011899700769135,0.7826377444219261,1.114518362022217,-2.1198994449772,1.0307787542263682,1.7788670491500866,-1.8675621339705017,0.3649976595188278,-2.312212473822605,-1.0113062159627617,5.101242072134994,-3.7619742868498065,-0.033746347799699095,2.2722282767134203,0.006142165354802387,1.9419372433041246,-0.4941983125157847,1.4938925305757138,-3.4474086878511017,0.6114384900043603,-0.6221153119674341,1.2837196455775484,1.3443003671926448,-2.2689091925607556,0.9588893256377204,1.2234030342143924,-2.1564958988038683,-0.1026504593279256,-2.6994030640516655,-0.6184857099772358,5.296596569710196,-3.5785131191303776,-0.12036073273849723,2.182401011622048,0.11002315061404744,2.093124133844263,-0.7545730514137148,1.508723236253907,-3.7149118917545394,0.9161657087200439,-0.7373332345303965,1.6260824683280788,1.4179089166680896,-2.536614303577295,1.0995974054126805,1.0217955732678448,-2.287277320661069,-0.39955751996933486,-2.6843149054077884,-0.44269171375035654,5.652438115789998,-3.499305731760856,-0.09757927860053428,2.0728380026990436,0.09336286924738602,2.1540860058788596,-0.8595859569077433,1.4378397355440882,-3.9442273554527176,1.3399549087919382,-0.6464667041345038,1.8608578351555707,1.4074756696333992,-2.512592903590651,1.0973825342098138,1.025597469442502,-2.4950214817536462,-0.697669721637979,-3.3038413610706527,-0.07308471841117381
479,4.3675273103243555,-4.030015654653532,-0.10051224331910191,2.123439607775431,0.1735819152321767,2.0036758319008285,-0.2243553396684561,1.5336012158543255,-3.1862734911463306,-0.09577919596023321,-0.25489850946338066,0.7910652934297886,1.1149598280561719,-2.1363839368914697,1.038571177841078,1.765798251767201,-1.865371411881469,0.35760614894292075,-2.3142215793166727,-1.0037845517084776,5.103283327328477,-3.758493850214684,-0.03406832749130473,2.27705033649616,0.0035930326165924953,1.9395025997985442,-0.4878627499562498,1.4906383729165569,-3.453086509723697,0.6234159209335317,-0.6327222028372859,1.2944949544027722,1.347733664005112,-2.2737167527284896,0.9570917754075836,1.213897118982402,-2.1479038275005706,-0.11098335453442587,-2.694615284439159,-0.6250227564925481,5.290419685403613,-3.5713529261472132,-0.12570738561562678,2.1819028479914593,0.11697804014018232,2.1008596343975796,-0.7588150505849143,1.504966806328838,-3.718365125161398,0.9251882424076214,-0.746718748165982,1.635753634289273,1.4189434111430757,-2.5443985727614375,1.1055229635817483,1.0232453405005515,-2.286866354990231,-0.4051409647224631,-2.683706726900418,-0.44723466115823385,5.650915100458924,-3.499331690321192,-0.10455695178603008,2.0695198336331373,0.09617835457020618,2.1627100362366747,-0.8668935119189456,1.4374914727602643,-3.953915790270628,1.3530039549502675,-0.6481395812914457,1.867504525331448,1.4089754493528872,-2.517063249634404,1.1050148268880378,1.025581698052342,-2.4970081815958594,-0.7046650435722412,-3.3002754986129474,-0.07240509857022204
480,4.373906576235356,-4.035935432956052,-0.09702452862563149,2.124352467968322,0.1772838760554194,2.0097031102643967,-0.23032986194946403,1.5382454802284045,-3.187839081682526,-0.07838404350813022,-0.2691236667945205,0.8014685219475766,1.11684620331868,-2.153242458886595,1.0459305961085406,1.7548297745803723,-1.863776259235543,0.349616278472773,-2.3168649020891365,-1.0004020968745024,5.103784300525575,-3.7514805557237025,-0.035072544052667354,2.280150180125517,0.0030779128724347515,1.939337504950231,-0.48403886524452844,1.4871461507228787,-3.456911966155346,0.6310668103311841,-0.6445119747984336,1.3055772434730741,1.350305758960559,-2.2785907822945504,0.9565019684575233,1.2077574267916162,-2.1409034352436436,-0.11866694634441899,-2.6894723381783336,-0.6315159992093768,5.28440413827343,-3.563402977316109,-0.13062528140843455,2.180870650441612,0.12346515854882512,2.1083020788342424,-0.765042410875516,1.5025064134807877,-3.722035813456415,0.9353199340916447,-0.7535497744430018,1.6467196969241797,1.4216475451177502,-2.55149027147597,1.1119206717246755,1.0247414017275887,-2.287445435087207,-0.4126237861391786,-2.6824992401781316,-0.45487951742536836,5.648870789725613,-3.499579819295924,-0.111107836017446,2.066782946257895,0.09946380059535898,2.172150336846471,-0.8734069569355896,1.436791262048736,-3.9636351490736743,1.366866255091466,-0.6497420963434735,1.8735463558278056,1.40959702460853,-2.5212162072177122,1.1125364427505957,1.025878746042764,-2.4980544927729795,-0.711777906731605,-3.297642692557581,-0.07358262214988542
481,4.393221615598357,-4.03968788069777,-0.09566987941243354,2.127506889003726,0.17760819671487127,2.0078504363998917,-0.23374219511877214,1.536261121958745,-3.183893956313362,-0.06402850202498911,-0.2773505775523404,0.8100929370690721,1.115223961495225,-2.169417833995105,1.0492316218599882,1.7414349971654133,-1.86953756978275,0.33903325892954683,-2.3163151277449856,-0.9872181054777585,5.104344012879601,-3.7466977419554013,-0.036180145115068285,2.2843347775408063,9.799710350222313e-05,1.9381473571615118,-0.4795274804910292,1.48677755908448,-3.4617516480226627,0.6401243258348686,-0.6563517329288473,1.3150586735415715,1.3545941562997896,-2.2836229126760514,0.955308327910295,1.2007892748560778,-2.1333599591315107,-0.12608985445852738,-2.6850706063801084,-0.6385947639434804,5.278993872725664,-3.558400571306649,-0.13553477990997465,2.179190077089494,0.1294526179956037,2.117974970493215,-0.7710160681187617,1.500410204005668,-3.726187503201814,0.9450334899699513,-0.7588213449016834,1.6563086661549633,1.4255716699749073,-2.560272130981133,1.1180459783417405,1.0257997145645774,-2.2890171810498856,-0.4204331243417272,-2.68189341498973,-0.4588801534631699,5.646646999877419,-3.5001277003142306,-0.11754332585098126,2.0648913738675176,0.10176647993804266,2.18109587556129,-0.8804936163909431,1.4364482873332065,-3.97276483762203,1.3798070861201452,-0.6518605023560866,1.87947853968587,1.4110646135560643,-2.524843654669631,1.119938244676753,1.0281543285532848,-2.4988694236161066,-0.7191049940371457,-3.295773029007215,-0.07624287438264332
482,4.4161611206788365,-4.04179148173985,-0.09522145724692876,2.1297770013843262,0.17822911527883178,2.003917211496251,-0.2379732855119414,1.532571752271778,-3.1762699360867828,-0.0545797954011249,-0.28476931198036226,0.8170913830393545,1.1116823198677892,-2.1822614742414146,1.054451372909476,1.7295669586357079,-1.8757623027800392,0.3268830073595339,-2.3142183383664943,-0.9777276612172088,5.108363525332315,-3.743831736880338,-0.03921541072240586,2.28194282898194,0.007482939936700461,1.943999264739574,-0.48898814291840864,1.4861256966957939,-3.464289005293537,0.6468891439612889,-0.6623692357001829,1.3257129493093842,1.357544584665625,-2.2944586045315063,0.9622201287685428,1.1992847516621197,-2.1407677172249393,-0.13331743071372415,-2.684021945788757,-0.6365823421413594,5.2768417509444845,-3.5561083249128416,-0.14107194953761848,2.174643403359781,0.1353186028479172,2.128205756568917,-0.7833846993451417,1.5006733816252975,-3.7324520160497627,0.9587517341783496,-0.7600960457668933,1.6658844134712112,1.4280921985834851,-2.5712688857801353,1.1249519602259497,1.0303506392731947,-2.2953629878862714,-0.42872405194002994,-2.6803104269421,-0.4575166836961486,5.643742266261029,-3.500899347522356,-0.12386423023063031,2.062970299978815,0.10468329970950663,2.190062686111176,-0.886806556473978,1.4353630790314966,-3.981938256507128,1.3937755055052037,-0.6540443615308078,1.8854118811497926,1.410951817725227,-2.528003357091478,1.1266286930280884,1.0295975969053686,-2.498889832373031,-0.7264594638029678,-3.293927194314584,-0.07691152353752528
483,4.4413454845973845,-4.041813751771528,-0.09063223430307943,2.1314080376411226,0.1771329491015905,2.0005031693971915,-0.24436374055674293,1.529172048503895,-3.171429243284699,-0.03868392251017383,-0.29618455628632745,0.8246433239943727,1.1122859841010637,-2.1964047697519433,1.0543827353373487,1.715429475491291,-1.8841585867806998,0.31850239663854296,-2.313211801326247,-0.9675785063992706,5.11326513654938,-3.7366132224115844,-0.040932584784791004,2.2835902210197716,0.008160455008223266,1.9399707515751885,-0.48567620038818404,1.4855162934865476,-3.4687340728805935,0.6581140161286712,-0.67156213899937,1.3387048067639569,1.3602883354144666,-2.302982266135089,0.9578119866182107,1.1864246420334297,-2.1366755510707733,-0.13746662231748275,-2.6788081390255485,-0.6410491634461479,5.278172544269999,-3.554647531538521,-0.14456996302453717,2.1706278213673613,0.1419582889628188,2.135823428117206,-0.7955185559259235,1.499767732468726,-3.7381937426581118,0.9745673081668897,-0.7606204996234567,1.6754279522031865,1.4291484302393158,-2.580896754697818,1.1304835506246604,1.0354947647347288,-2.30542514332096,-0.4377171541512297,-2.680448447108283,-0.45718902362679614,5.640379427758596,-3.503222489369506,-0.1298267761220444,2.0618915890512284,0.10752803239437725,2.198394430222237,-0.8932306982672884,1.4360071383683675,-3.9919113123144854,1.4057915612519736,-0.6568247965582259,1.8906210630879698,1.412039123186041,-2.5305072352668887,1.1333427213403553,1.0311329959072566,-2.498678413709051,-0.7328185644266796,-3.2928312168577563,-0.07687216731195434
484,4.465548653765659,-4.0425928013250925,-0.08652513747754398,2.132994687424251,0.17540584180836305,1.9964030593857984,-0.24976804993997348,1.5254321851070358,-3.1666918590772966,-0.023318100570335787,-0.30797269037145014,0.8310439277620674,1.1147012850253475,-2.210530948974018,1.0545566930298378,1.7018380471783274,-1.893643313496888,0.30976083313588276,-2.312072704100835,-0.9539042375739513,5.1144471649876095,-3.7298329258652885,-0.04256839655099043,2.285771261359457,0.009776582706820136,1.9384300724313448,-0.4829602156165862,1.4838916004205132,-3.473385567569558,0.6689513445743884,-0.6816632210433298,1.3514759178662104,1.3605936686558309,-2.310660626122626,0.9554581003338285,1.1774853790565913,-2.1327110743559174,-0.14209197144964492,-2.6735634742188523,-0.6463918148712153,5.279384929662264,-3.552900028320174,-0.14717130970992542,2.1676610374170906,0.1479494204387919,2.1427980768388935,-0.8094965344964535,1.500437200359272,-3.744330172555941,0.9882259630822006,-0.7618062739414597,1.6854076816589512,1.4324409890230285,-2.5910133565929883,1.1369219928971575,1.037837633941649,-2.314904803867975,-0.4458367203403313,-2.6812846404061403,-0.45379827015813845,5.636622481530075,-3.505746706464855,-0.13642768544342232,2.059833866899595,0.11145815719684293,2.206838733558854,-0.8992668858648898,1.4352809082229854,-4.000434753119315,1.419404998107943,-0.6608159277909138,1.8957267537623181,1.4125999400366922,-2.532683131327204,1.1402009827028508,1.03427869314136,-2.499406049787247,-0.7393260273774871,-3.2920369913977154,-0.07673165409308069
485,4.4898639651311285,-4.044366909272007,-0.0822085443980427,2.1352270995984384,0.17310197892140167,1.9922853876967466,-0.2556196523404779,1.5227562086774853,-3.161794851489745,-0.00861015740544957,-0.31791949478238735,0.8375736332698693,1.1161085934959516,-2.2240842241816523,1.05299264392319,1.6890491398151681,-1.902867494057027,0.3013120047126918,-2.3104908967365603,-0.9402641897702111,5.118006676474785,-3.7220183767289043,-0.04362343019951709,2.2874843357401886,0.01086998635064873,1.936882372301156,-0.480654246248271,1.482614157618464,-3.4784970867560787,0.6790057714023092,-0.691875543377968,1.3636026745241026,1.3634398902314402,-2.317916191954737,0.9528385740233958,1.1659255087095204,-2.127895992963772,-0.14878554875715366,-2.668143254949122,-0.6514693947820405,5.2822624800895,-3.550176794578455,-0.14972529681735836,2.164422163528542,0.1539388156000001,2.149353044628924,-0.8216775643923881,1.499371586904246,-3.7504613642659024,1.0007585108928012,-0.7618731132940582,1.6951261365979349,1.436139033330008,-2.6006800308025433,1.140620121302483,1.040871570012051,-2.325652793365066,-0.45498978475642815,-2.6829487873265734,-0.4485238997797225,5.633665756430496,-3.50811794916703,-0.14240393233826154,2.058556694747253,0.11609078630683456,2.215698706639877,-0.9058248832531817,1.4353179014901585,-4.007104691182768,1.431554419484236,-0.6641188921557273,1.8992085469743571,1.4117260909410447,-2.533442741204695,1.1475187725628189,1.0324930378475585,-2.4990962000602366,-0.7451613290321291,-3.2905928843034005,-0.075864902673068
